rp_Co,rp_Ni,rs_Co,rs_Ni,theta,rp_Co^2,rp_Ni^2,rs_Co^2,rs_Ni^2,rp_Ni^2 - rs_Ni^2,rp_Ni^2 + rs_Ni^2,rp_Co^2 - rs_Co^2,rp_Co^2 + rs_Co^2
(0.768188760652+0.300938304747j),(0.768609073184+0.318174132612j),(-0.768188760652-0.300938304747j),(-0.768609073184-0.318174132612j),0,(0.499550108728+0.462354846712j),(0.489525128718+0.489103050356j),(0.499550108728+0.462354846712j),(0.489525128718+0.489103050356j),0j,(0.979050257436+0.978206100713j),0j,(0.999100217456+0.924709693424j)
(0.768148377998+0.30097298801j),(0.768567637003+0.318211029134j),(-0.768229136751-0.300903623512j),(-0.768650502443-0.31813723822j),1,(0.49946719111+0.462383825122j),(0.489437953585+0.48913339746j),(0.49963301591+0.462325861872j),(0.489612292563+0.489072696008j),(-0.000174338977916+6.07014523595e-05j),(0.979050246149+0.978206093468j),(-0.000165824800414+5.79632500039e-05j),(0.99910020702+0.924709686993j)
(0.768027170283+0.301077072252j),(0.768443266432+0.318321754813j),(-0.768350246109-0.300799569705j),(-0.76877476914-0.318026544515j),2,(0.499218330858+0.462470743678j),(0.489176314138+0.48922441809j),(0.49988171956+0.462238846825j),(0.48987376265+0.488981566679j),(-0.000697448512854+0.000242851410968j),(0.979050076788+0.97820598477j),(-0.000663388702619+0.000231896853464j),(0.999100050418+0.924709590503j)
(0.767824958035+0.301250660902j),(0.768235775169+0.318506418051j),(-0.768552031913-0.300626113047j),(-0.768981810043-0.317842019935j),3,(0.498803205487+0.462615552131j),(0.48873986791+0.489376049936j),(0.500296165911+0.462093620057j),(0.490309474541+0.488829463595j),(-0.00156960663173+0.00054658634095j),(0.979049342451+0.978205513531j),(-0.00149296042439+0.000521932074067j),(0.999099371398+0.924709172188j)
(0.767541441411+0.301493926561j),(0.767944851955+0.318765199745j),(-0.76883439948-0.300383203169j),(-0.769271519776-0.31758361199j),4,(0.498221276531+0.462818165938j),(0.488128043076+0.489588188253j),(0.500876265077+0.461889879245j),(0.490919320535+0.488616055703j),(-0.00279127745857+0.000972132549828j),(0.979047363611+0.978204243955j),(-0.00265498854628+0.00092828669324j),(0.999097541608+0.924708045184j)
(0.767176199123+0.301807111331j),(0.767570059445+0.319098353618j),(-0.769197216264-0.300070769761j),(-0.769643750834-0.317251247414j),5,(0.497471788051+0.463078465078j),(0.487340036874+0.48986068451j),(0.501621890643+0.461627201564j),(0.491703149212+0.488340880034j),(-0.00436311233823+0.00151980447615j),(0.979043186086+0.978201564544j),(-0.00415010259273+0.00145126351425j),(0.999093678694+0.924705666642j)
(0.766728686905+0.302190527285j),(0.767110832607+0.319506206697j),(-0.769640311868-0.299688722769j),(-0.770098313608-0.316844832399j),6,(0.496553764542+0.46339629236j),(0.486374813385+0.490193344485j),(0.502532879097+0.46130504411j),(0.492660764804+0.488003342211j),(-0.00628595141921+0.00219000227373j),(0.979035578189+0.978196686696j),(-0.00597911455479+0.00209124825022j),(0.999086643639+0.92470133647j)
(0.766198235542+0.302644557059j),(0.766566476657+0.319989159918j),(-0.770163478057-0.299236952663j),(-0.770634976414-0.316364252874j),7,(0.49546600823+0.46377145123j),(0.48523110067+0.490585925774j),(0.503609029094+0.460922744452j),(0.493791926376+0.487602717103j),(-0.00856082570561+0.00298320867142j),(0.979023027045+0.978188642877j),(-0.00814302086405+0.00284870677796j),(0.999075037324+0.924694195682j)
(0.765584048426+0.303169654591j),(0.7659361645+0.320547688869j),(-0.77076646878-0.298715330752j),(-0.77125346553-0.315809374864j),8,(0.49420709574+0.464203703043j),(0.48390738725+0.491038134704j),(0.50485010057+0.460479521309j),(0.49509634684+0.487138149622j),(-0.0111889595905+0.0038999850822j),(0.97900373409+0.978176284326j),(-0.0106430048294+0.00372418173433j),(0.99905719631+0.924683224352j)
(0.764885198637+0.303766345982j),(0.765218933669+0.321182344673j),(-0.771449000192-0.29812370956j),(-0.771953465247-0.315180044903j),9,(0.492775374143+0.464692763772j),(0.482401917916+0.491549622608j),(0.506255813695+0.459974475347j),(0.496573691802+0.486608655679j),(-0.014171773886+0.00494096692894j),(0.978975609718+0.978158278287j),(-0.0134804395517+0.00471828842566j),(0.999031187838+0.924667239119j)
(0.764100625519+0.30443523051j),(0.764413682744+0.321893755005j),(-0.772210750678-0.297461923256j),(-0.772734617916-0.314476090507j),10,(0.491168956343+0.465238300126j),(0.480712688856+0.492119981431j),(0.507825847676+0.459406590111j),(0.498223578224+0.486013123284j),(-0.0175108893685+0.00610685814735j),(0.97893626708+0.978133104715j),(-0.0166568913332+0.00583171001504j),(0.99899480402+0.924644890237j)
(0.763229130741+0.305176981767j),(0.763519167227+0.322682625251j),(-0.773051360897-0.296729788144j),(-0.773596524016-0.313697320718j),11,(0.489385715811+0.465839925032j),(0.478837442084+0.492748738621j),(0.509559839413+0.458774733086j),(0.500045572943+0.485350313801j),(-0.0212081308592+0.00739842481943j),(0.978883015027+0.978099052422j),(-0.0201741236018+0.00706519194553j),(0.998945555224+0.924614658118j)
(0.762269373806+0.305992348944j),(0.762533994836+0.323549739807j),(-0.773970433811-0.295927103205j),(-0.774538742227-0.312843526697j),12,(0.48742328063+0.466497192438j),(0.476773659151+0.493435351247j),(0.511457382003+0.458077656888j),(0.502039191015+0.484618863364j),(-0.0252655318639+0.00881648788292j),(0.978812850165+0.978054214611j),(-0.0240341013732+0.0084195355505j),(0.998880662633+0.924574849326j)
(0.761219866989+0.30688215826j),(0.761456620204+0.324495963514j),(-0.774967534742-0.295053650693j),(-0.775560789516-0.311914482386j),13,(0.485279026841+0.467209591384j),(0.474518554115+0.494179199295j),(0.513518023117+0.457314000589j),(0.504203893913+0.483817284441j),(-0.0296853397973+0.0103619148537j),(0.978722448028+0.977996483736j),(-0.0282389962756+0.00989559079454j),(0.998797049958+0.924523591972j)
(0.760078969661+0.30784731452j),(0.760285338936+0.325522243237j),(-0.77604219142-0.294109196789j),(-0.776662141229-0.310909945223j),14,(0.482950071064+0.467976539266j),(0.472069065758+0.494979578062j),(0.515741263229+0.456482291186j),(0.50653908758+0.482943967572j),(-0.0344700218218+0.0120356104891j),(0.978608153338+0.977923545634j),(-0.0327911921649+0.0114942480802j),(0.998691334293+0.924458830452j)
