theta,rp_Co_re,rp_Co_im,rp_Ni_re,rp_Ni_im,rs_Co_re,rs_Co_im,rs_Ni_re,rs_Ni_im,rp_Co^2_re,rp_Co^2_im,rp_Ni^2_re,rp_Ni^2_im,rs_Co^2_re,rs_Co^2_im,rs_Ni^2_re,rs_Ni^2_im,rp_Ni^2 - rs_Ni^2_re,rp_Ni^2 - rs_Ni^2_im,rp_Ni^2 + rs_Ni^2_re,rp_Ni^2 + rs_Ni^2_im,rp_Co^2 - rs_Co^2_re,rp_Co^2 - rs_Co^2_im,rp_Co^2 + rs_Co^2_re,rp_Co^2 + rs_Co^2_im
0,0.768188760652,0.300938304747,0.768609073184,0.318174132612,-0.768188760652,-0.300938304747,-0.768609073184,-0.318174132612,0.499550108728,0.462354846712,0.489525128718,0.489103050356,0.499550108728,0.462354846712,0.489525128718,0.489103050356,0.0,0.0,0.979050257436,0.978206100713,0.0,0.0,0.999100217456,0.924709693424
1,0.768148377998,0.30097298801,0.768567637003,0.318211029134,-0.768229136751,-0.300903623512,-0.768650502443,-0.31813723822,0.49946719111,0.462383825122,0.489437953585,0.48913339746,0.49963301591,0.462325861872,0.489612292563,0.489072696008,-0.000174338977916,6.07014523595e-05,0.979050246149,0.978206093468,-0.000165824800414,5.79632500039e-05,0.99910020702,0.924709686993
2,0.768027170283,0.301077072252,0.768443266432,0.318321754813,-0.768350246109,-0.300799569705,-0.76877476914,-0.318026544515,0.499218330858,0.462470743678,0.489176314138,0.48922441809,0.49988171956,0.462238846825,0.48987376265,0.488981566679,-0.000697448512854,0.000242851410968,0.979050076788,0.97820598477,-0.000663388702619,0.000231896853464,0.999100050418,0.924709590503
3,0.767824958035,0.301250660902,0.768235775169,0.318506418051,-0.768552031913,-0.300626113047,-0.768981810043,-0.317842019935,0.498803205487,0.462615552131,0.48873986791,0.489376049936,0.500296165911,0.462093620057,0.490309474541,0.488829463595,-0.00156960663173,0.00054658634095,0.979049342451,0.978205513531,-0.00149296042439,0.000521932074067,0.999099371398,0.924709172188
4,0.767541441411,0.301493926561,0.767944851955,0.318765199745,-0.76883439948,-0.300383203169,-0.769271519776,-0.31758361199,0.498221276531,0.462818165938,0.488128043076,0.489588188253,0.500876265077,0.461889879245,0.490919320535,0.488616055703,-0.00279127745857,0.000972132549828,0.979047363611,0.978204243955,-0.00265498854628,0.00092828669324,0.999097541608,0.924708045184
5,0.767176199123,0.301807111331,0.767570059445,0.319098353618,-0.769197216264,-0.300070769761,-0.769643750834,-0.317251247414,0.497471788051,0.463078465078,0.487340036874,0.48986068451,0.501621890643,0.461627201564,0.491703149212,0.488340880034,-0.00436311233823,0.00151980447615,0.979043186086,0.978201564544,-0.00415010259273,0.00145126351425,0.999093678694,0.924705666642
6,0.766728686905,0.302190527285,0.767110832607,0.319506206697,-0.769640311868,-0.299688722769,-0.770098313608,-0.316844832399,0.496553764542,0.46339629236,0.486374813385,0.490193344485,0.502532879097,0.46130504411,0.492660764804,0.488003342211,-0.00628595141921,0.00219000227373,0.979035578189,0.978196686696,-0.00597911455479,0.00209124825022,0.999086643639,0.92470133647
7,0.766198235542,0.302644557059,0.766566476657,0.319989159918,-0.770163478057,-0.299236952663,-0.770634976414,-0.316364252874,0.49546600823,0.46377145123,0.48523110067,0.490585925774,0.503609029094,0.460922744452,0.493791926376,0.487602717103,-0.00856082570561,0.00298320867142,0.979023027045,0.978188642877,-0.00814302086405,0.00284870677796,0.999075037324,0.924694195682
8,0.765584048426,0.303169654591,0.7659361645,0.320547688869,-0.77076646878,-0.298715330752,-0.77125346553,-0.315809374864,0.49420709574,0.464203703043,0.48390738725,0.491038134704,0.50485010057,0.460479521309,0.49509634684,0.487138149622,-0.0111889595905,0.0038999850822,0.97900373409,0.978176284326,-0.0106430048294,0.00372418173433,0.99905719631,0.924683224352
9,0.764885198637,0.303766345982,0.765218933669,0.321182344673,-0.771449000192,-0.29812370956,-0.771953465247,-0.315180044903,0.492775374143,0.464692763772,0.482401917916,0.491549622608,0.506255813695,0.459974475347,0.496573691802,0.486608655679,-0.014171773886,0.00494096692894,0.978975609718,0.978158278287,-0.0134804395517,0.00471828842566,0.999031187838,0.924667239119
10,0.764100625519,0.30443523051,0.764413682744,0.321893755005,-0.772210750678,-0.297461923256,-0.772734617916,-0.314476090507,0.491168956343,0.465238300126,0.480712688856,0.492119981431,0.507825847676,0.459406590111,0.498223578224,0.486013123284,-0.0175108893685,0.00610685814735,0.97893626708,0.978133104715,-0.0166568913332,0.00583171001504,0.99899480402,0.924644890237
11,0.763229130741,0.305176981767,0.763519167227,0.322682625251,-0.773051360897,-0.296729788144,-0.773596524016,-0.313697320718,0.489385715811,0.465839925032,0.478837442084,0.492748738621,0.509559839413,0.458774733086,0.500045572943,0.485350313801,-0.0212081308592,0.00739842481943,0.978883015027,0.978099052422,-0.0201741236018,0.00706519194553,0.998945555224,0.924614658118
12,0.762269373806,0.305992348944,0.762533994836,0.323549739807,-0.773970433811,-0.295927103205,-0.774538742227,-0.312843526697,0.48742328063,0.466497192438,0.476773659151,0.493435351247,0.511457382003,0.458077656888,0.502039191015,0.484618863364,-0.0252655318639,0.00881648788292,0.978812850165,0.978054214611,-0.0240341013732,0.0084195355505,0.998880662633,0.924574849326
13,0.761219866989,0.30688215826,0.761456620204,0.324495963514,-0.774967534742,-0.295053650693,-0.775560789516,-0.311914482386,0.485279026841,0.467209591384,0.474518554115,0.494179199295,0.513518023117,0.457314000589,0.504203893913,0.483817284441,-0.0296853397973,0.0103619148537,0.978722448028,0.977996483736,-0.0282389962756,0.00989559079454,0.998797049958,0.924523591972
14,0.760078969661,0.30784731452,0.760285338936,0.325522243237,-0.77604219142,-0.294109196789,-0.776662141229,-0.310909945223,0.482950071064,0.467976539266,0.472069065758,0.494979578062,0.515741263229,0.456482291186,0.50653908758,0.482943967572,-0.0344700218218,0.0120356104891,0.978608153338,0.977923545634,-0.0327911921649,0.0114942480802,0.998691334293,0.924458830452
15,0.758844881963,0.308888802832,0.759018280982,0.326629609586,-0.777193894054,-0.293093492299,-0.777842231203,-0.309829656919,0.480433262366,0.46879737425,0.469421849006,0.495835689571,0.518126553726,0.455580945203,0.509044120336,0.481997183262,-0.0396222713303,0.0138385063096,0.978465969343,0.977832872833,-0.0376932913603,0.0132164290467,0.998559816092,0.924378319453
16,0.757515637792,0.31000769046,0.757653403294,0.327819178774,-0.778422095398,-0.292006273414,-0.779100451887,-0.308673344288,0.477725173356,0.469671346718,0.466573265551,0.496746632926,0.52067329489,0.454608270441,0.511718280657,0.48097508404,-0.0451450151067,0.0157715488853,0.978291546208,0.977721716966,-0.0429481215345,0.0150630762772,0.998398468246,0.924279617159
17,0.756089097047,0.311205128818,0.7561884817,0.32909215462,-0.779726210842,-0.290847262516,-0.78043615448,-0.307440720132,0.474822090471,0.470597609689,0.463519373624,0.497711393484,0.523380833762,0.453562467871,0.514560794824,0.479875706701,-0.0510414212002,0.0178356867828,0.978080168447,0.977587100185,-0.0485587432907,0.0170351418184,0.998202924232,0.92416007756
18,0.754562937076,0.312482355623,0.754621101953,0.330449830692,-0.781105618508,-0.28961616903,-0.78184864908,-0.306131484186,0.471720003433,0.471575208087,0.460255916909,0.498728830754,0.5262484619,0.45244163368,0.517570824458,0.478696974703,-0.0573149075492,0.0200318560508,0.977826741367,0.977425805457,-0.0545284584669,0.0191335744073,0.997968465334,0.924016841767
19,0.752934643273,0.313840697178,0.752948649875,0.331893592578,-0.782559659352,-0.288312690333,-0.783337204857,-0.304745324105,0.468414593836,0.472603066749,0.456778312555,0.499797664867,0.529275413038,0.451243761467,0.520747463949,0.477436700755,-0.0639691513946,0.0223609641121,0.977525776504,0.977234365622,-0.0608608192028,0.0213593052824,0.997690006874,0.923846828216
20,0.751201498747,0.315281570809,0.751168300544,0.333424920304,-0.784087637297,-0.286936512701,-0.784901050239,-0.303281916512,0.464901222828,0.473679977039,0.453081638263,0.500916461487,0.532460860641,0.449966744595,0.524089737784,0.476092589578,-0.071008099521,0.0248238719093,0.977171376046,0.977009051065,-0.067559637813,0.0237132324438,0.997362083468,0.923646721634
21,0.749360572995,0.316806487439,0.749277006427,0.335045390874,-0.785688819362,-0.28548731231,-0.786539373119,-0.30174092809,0.461174917875,0.474804581912,0.449160618414,0.502083614983,0.535803915381,0.448608378703,0.527596597781,0.474662240849,-0.0784359793672,0.0274213741341,0.976757216196,0.976745855832,-0.0746289975055,0.0261962032093,0.996978833256,0.923412960615
